Data;Temperatura;Umidade;Pressao
01/09/2023;23.5;59;888.4
02/09/2023;21.6;67;888.9
03/09/2023;19.9;;889.1
04/09/2023;;;889.0
05/09/2023;;;888.5
06/09/2023;;77;888.0
07/09/2023;;80;887.8
08/09/2023;19.2;82;887.9
09/09/2023;21.5;;887.7
10/09/2023;21.4;;888.4
11/09/2023;21.0;;889.3
12/09/2023;22.0;;889.9
13/09/2023;;64;890.5
14/09/2023;25.4;53;890.6
15/09/2023;27.0;48;890.3
16/09/2023;28.2;44;889.6
17/09/2023;29.2;;888.7
18/09/2023;;38;887.8
19/09/2023;;36;886.9
20/09/2023;29.2;36;886.5
